datetime,power_demand
2024-09-01,3800.2804166666665
2024-09-02,3388.43
2024-09-03,2765.3741666666665
2024-09-04,3843.9762499999997
2024-09-05,5308.888333333333
2024-09-06,5692.631666666667
2024-09-07,5226.337500000001
2024-09-08,5432.779166666666
2024-09-09,5033.235416666666
2024-09-10,4693.2891666666665
2024-09-11,3315.4112499999997
2024-09-12,2959.3891666666664
2024-09-13,4125.945833333333
2024-09-14,4037.620833333333
2024-09-15,4148.227708333333
2024-09-16,4478.097916666667
2024-09-17,4753.870416666667
2024-09-18,4448.232916666667
2024-09-19,4291.280833333333
2024-09-20,4626.963125
2024-09-21,4793.926979166667
2024-09-22,4862.451666666667
2024-09-23,5447.435104166667
2024-09-24,5799.830625
2024-09-25,5801.814166666667
2024-09-26,5549.401875
2024-09-27,5363.341875
2024-09-28,4847.0824999999995
2024-09-29,4703.118333333333
2024-09-30,5058.76875
2024-10-01,3869.0264583333333
2024-10-02,3121.6445833333332
2024-10-03,2702.2325
2024-10-04,3873.924375
2024-10-05,5308.5025
2024-10-06,6153.685
2024-10-07,5424.752916666666
2024-10-08,5169.784375
2024-10-09,5132.451041666666
2024-10-10,4573.045833333334
2024-10-11,3234.3199999999997
2024-10-12,3155.9535416666663
2024-10-13,3755.1120833333334
2024-10-14,4061.7466666666664
2024-10-15,4020.254166666667
2024-10-16,4076.2154166666664
2024-10-17,4180.96625
2024-10-18,4203.083333333333
2024-10-19,4101.163333333333
2024-10-20,4075.41625
2024-10-21,4352.278333333333
2024-10-22,4313.565
2024-10-23,4170.954583333333
2024-10-24,4134.0025
2024-10-25,4022.929166666667
2024-10-26,3792.115416666667
2024-10-27,3673.0383333333334
2024-10-28,4008.099583333333
2024-10-29,4121.207083333334
2024-10-30,4053.342083333333
2024-10-31,3436.1104166666664
2024-11-01,3818.2737500000003
2024-11-02,2977.5364583333335
2024-11-03,2912.615208333333
2024-11-04,3802.2358333333336
2024-11-05,4842.8220833333335
2024-11-06,6364.303333333333
2024-11-07,5995.470208333333
2024-11-08,4778.0685416666665
2024-11-09,4937.6570833333335
2024-11-10,4402.01875
2024-11-11,3411.7947916666667
2024-11-12,3165.6275
2024-11-13,3317.715208333333
2024-11-14,3218.482083333333
2024-11-15,3134.9066666666663
2024-11-16,2998.2258333333334
2024-11-17,2838.9
2024-11-18,2963.8806944444445
2024-11-19,2948.410347222222
2024-11-20,3029.8441666666663
2024-11-21,2969.617083333333
2024-11-22,2981.5068749999996
2024-11-23,2815.913541666667
2024-11-24,2714.8477083333332
2024-11-25,2896.2695833333332
2024-11-26,2907.267916666666
2024-11-27,2931.9983333333334
2024-11-28,2982.974166666667
2024-11-29,3022.35875
2024-11-30,2912.1008333333334
2024-12-01,3944.75
2024-12-02,3177.41375
2024-12-03,2974.1041666666665
2024-12-04,4032.02875
2024-12-05,4980.597916666667
2024-12-06,6559.5125
2024-12-07,5814.501666666667
2024-12-08,4950.712083333333
2024-12-09,4651.42375
2024-12-10,3717.654583333333
2024-12-11,3439.3554166666668
